set,num_images,opencv_rms_px,mean_image_rms_px,max_image_rms_px,fx,fy,cx,cy,k1,k2,p1,p2,k3
Set_A_3,3,0.218038,0.201867,0.311153,1235.763129,1234.374709,558.250175,727.926003,0.26525301,-1.83097077,-0.00036665,0.00052930,4.21945118
Set_B_7,7,0.294950,0.282653,0.355071,1141.843883,1140.028227,566.493506,732.187819,0.23286627,-1.34951039,-0.00038631,0.00036619,2.60887633
Set_C_11,11,0.343580,0.331255,0.507947,1143.386041,1141.363230,562.532477,735.351127,0.18123822,-0.88306878,0.00049621,-0.00062510,1.52754301
Set_D_15,15,0.424593,0.415906,0.533260,1146.043855,1143.997435,560.469059,731.875057,0.09839246,-0.25964823,-0.00082565,-0.00086322,0.27446177
